マッシュポテト,5.31,5.09,5.11,4.17,4.46,5.25,5.15,4.69,4.41,4.20
野菜サラダ,5.83,6.38,7.23,5.48,5.59,6.46,7.44,7.06,6.49,6.13
もやし炒め,4.18,4.61,5.45,4.60,4.67,4.68,4.73,5.04,4.95,5.25
八宝菜,4.60,5.08,6.11,6.02,5.50,4.61,5.74,5.75,6.14,5.81
精進揚,4.83,5.14,6.23,5.88,6.29,5.48,5.59,5.58,6.05,5.97
昆布の佃煮,4.55,4.49,4.65,4.98,5.34,4.57,4.02,4.62,5.01,5.59
梅干し,4.00,3.95,5.51,5.00,5.15,4.45,4.63,5.38,4.06,5.22
味付のり,7.60,6.75,7.19,7.40,7.29,7.50,7.09,7.11,7.69,7.49
湯豆腐,5.12,5.31,6.21,6.12,6.74,4.99,5.11,5.06,5.59,5.93
冷奴,5.66,5.92,6.95,6.42,6.55,5.48,6.17,5.83,6.09,6.27
高野豆腐,5.09,4.61,5.11,5.06,5.35,4.63,4.48,4.17,5.53,6.00
納豆,4.97,3.72,4.16,3.64,4.31,4.19,3.49,3.16,3.79,3.93
ブドウ酒,4.58,4.96,6.02,5.43,5.39,4.66,4.23,4.22,4.14,4.39
清酒,3.91,3.91,5.09,5.98,5.79,2.83,2.32,2.76,2.75,2.70
ビール,4.56,5.13,6.68,7.15,6.45,3.32,3.64,4.22,4.28,3.59
ウィスキー,3.92,4.19,4.95,4.85,4.76,2.09,2.56,2.66,2.07,1.79
緑茶,6.13,6.29,7.05,6.76,6.63,6.52,6.81,7.21,6.83,7.35
紅茶,6.08,6.73,6.56,5.80,5.48,5.77,6.00,5.96,5.68,5.75
コーヒー,6.20,6.75,6.23,6.58,5.49,5.02,6.31,6.28,6.18,5.76
牛乳,7.40,7.27,6.75,6.70,6.82,6.27,6.25,5.04,6.36,5.16
カルピスジュース,8.05,6.84,6.72,6.34,5.90,7.82,7.02,6.29,6.73,6.11
オレンジジュース,7.80,6.59,6.42,6.18,5.78,7.60,6.57,5.94,5.91,5.21
粉末ジュース,6.97,5.31,5.25,4.83,4.21,6.73,5.06,4.73,4.16,4.25
コーラ,6.87,6.86,6.23,5.56,4.96,5.60,5.77,4.49,3.87,3.34
サイダー,7.60,6.60,5.80,5.32,5.33,6.90,6.35,5.51,5.49,5.67
ネクター,6.96,5.61,4.34,4.28,4.15,6.46,5.70,5.31,4.77,4.19
栗まんじゅう,5.71,5.58,5.46,5.10,5.57,5.46,5.94,5.19,5.78,6.23
ようかん,5.30,5.88,5.35,5.24,5.68,5.17,5.91,5.06,5.56,6.10
おかき,7.09,6.39,5.60,6.18,5.81,7.12,6.69,5.96,6.28,6.60
カステラ,6.93,6.73,5.60,5.63,6.13,7.13,6.66,6.42,6.44,6.50
チューインガム,7.46,6.19,5.42,4.70,3.68,7.33,6.73,5.58,4.18,3.39
ビスケット,6.38,5.28,5.07,3.96,4.25,6.28,5.21,4.65,4.49,4.64
ホットケーキ,7.41,6.97,5.91,4.96,4.86,7.19,6.72,5.98,5.53,5.52
チョコレート,7.77,6.47,5.71,5.26,4.91,7.72,7.03,6.42,5.52,5.46
シュークリーム,7.96,7.13,6.36,6.18,5.71,7.92,7.59,6.87,6.77,6.43
プリン,7.62,6.48,5.75,4.69,4.65,7.82,7.17,6.31,5.53,5.58
アイスクリーム,8.44,7.52,6.82,6.88,6.05,8.48,8.33,7.25,6.83,6.55
みかん,7.81,7.31,6.93,7.42,6.60,8.10,7.56,7.79,7.82,7.67
バナナ,8.29,7.45,7.00,6.76,6.69,8.14,7.09,6.83,6.83,7.13
リンゴ,7.20,6.42,6.23,5.92,5.91,6.98,6.44,6.04,6.14,6.02
パイ缶,7.62,7.33,6.91,6.90,6.47,7.33,6.69,7.23,6.79,6.70
